EmployeeNumber,Variable,Value
1916,EducationField,Medical
1918,EducationField,Other
1922,EducationField,Medical
1924,EducationField,Marketing
1927,EducationField,Life Sciences
1928,EducationField,Technical Degree
1929,EducationField,Life Sciences
1931,EducationField,Technical Degree
1932,EducationField,Other
1933,EducationField,Marketing
1934,EducationField,Technical Degree
1935,EducationField,Marketing
1936,EducationField,Medical
1937,EducationField,Medical
1938,EducationField,Life Sciences
1939,EducationField,Life Sciences
1940,EducationField,Life Sciences
1941,EducationField,Life Sciences
1943,EducationField,Marketing
1944,EducationField,Human Resources
1945,EducationField,Medical
1947,EducationField,Medical
1948,EducationField,Medical
1949,EducationField,Life Sciences
1950,EducationField,Marketing
1951,EducationField,Medical
1952,EducationField,Medical
1954,EducationField,Life Sciences
1955,EducationField,Medical
1956,EducationField,Life Sciences
1960,EducationField,Technical Degree
1961,EducationField,Life Sciences
1962,EducationField,Life Sciences
1965,EducationField,Marketing
1966,EducationField,Life Sciences
1967,EducationField,Marketing
1968,EducationField,Life Sciences
1969,EducationField,Life Sciences
1970,EducationField,Life Sciences
1971,EducationField,Life Sciences
1972,EducationField,Other
1973,EducationField,Human Resources
1974,EducationField,Medical
1975,EducationField,Marketing
1976,EducationField,Life Sciences
1979,EducationField,Medical
1980,EducationField,Medical
1981,EducationField,Life Sciences
1982,EducationField,Other
1985,EducationField,Technical Degree
1986,EducationField,Marketing
1987,EducationField,Human Resources
1989,EducationField,Medical
1992,EducationField,Other
1993,EducationField,Medical
1994,EducationField,Medical
1995,EducationField,Life Sciences
1996,EducationField,Life Sciences
1997,EducationField,Life Sciences
1998,EducationField,Life Sciences
1999,EducationField,Life Sciences
2000,EducationField,Medical
2003,EducationField,Medical
2007,EducationField,Life Sciences
2008,EducationField,Medical
2009,EducationField,Medical
2010,EducationField,Life Sciences
2012,EducationField,Life Sciences
2013,EducationField,Medical
2014,EducationField,Life Sciences
2015,EducationField,Medical
2016,EducationField,Marketing
2017,EducationField,Life Sciences
2018,EducationField,Other
2019,EducationField,Life Sciences
2020,EducationField,Medical
2021,EducationField,Medical
2022,EducationField,Life Sciences
2023,EducationField,Marketing
2024,EducationField,Medical
2025,EducationField,Life Sciences
2026,EducationField,Life Sciences
2027,EducationField,Medical
2031,EducationField,Life Sciences
2032,EducationField,Technical Degree
2034,EducationField,Life Sciences
2035,EducationField,Marketing
2036,EducationField,Marketing
2037,EducationField,Life Sciences
2038,EducationField,Technical Degree
2040,EducationField,Life Sciences
2041,EducationField,Life Sciences
2044,EducationField,Life Sciences
2045,EducationField,Marketing
2046,EducationField,Life Sciences
2048,EducationField,Life Sciences
2049,EducationField,Life Sciences
2051,EducationField,Medical
2052,EducationField,Life Sciences
2053,EducationField,Other
2054,EducationField,Medical
2055,EducationField,Marketing
2056,EducationField,Marketing
2057,EducationField,Medical
2060,EducationField,Other
2061,EducationField,Medical
2062,EducationField,Medical
2064,EducationField,Life Sciences
2065,EducationField,Medical
2068,EducationField,Medical
1,MaritalStatus,Single
2,MaritalStatus,Married
4,MaritalStatus,Single
5,MaritalStatus,Married
7,MaritalStatus,Married
8,MaritalStatus,Single
10,MaritalStatus,Married
11,MaritalStatus,Divorced
12,MaritalStatus,Single
13,MaritalStatus,Married
14,MaritalStatus,Married
15,MaritalStatus,Single
16,MaritalStatus,Divorced
18,MaritalStatus,Divorced
19,MaritalStatus,Single
20,MaritalStatus,Divorced
21,MaritalStatus,Divorced
22,MaritalStatus,Divorced
23,MaritalStatus,Married
24,MaritalStatus,Single
26,MaritalStatus,Divorced
27,MaritalStatus,Single
28,MaritalStatus,Single
30,MaritalStatus,Single
31,MaritalStatus,Single
32,MaritalStatus,Divorced
33,MaritalStatus,Single
35,MaritalStatus,Married
36,MaritalStatus,Married
38,MaritalStatus,Single
39,MaritalStatus,Single
40,MaritalStatus,Married
41,MaritalStatus,Single
42,MaritalStatus,Married
45,MaritalStatus,Married
46,MaritalStatus,Divorced
47,MaritalStatus,Married
49,MaritalStatus,Married
51,MaritalStatus,Married
52,MaritalStatus,Married
53,MaritalStatus,Divorced
54,MaritalStatus,Divorced
55,MaritalStatus,Single
56,MaritalStatus,Single
57,MaritalStatus,Single
58,MaritalStatus,Married
60,MaritalStatus,Single
61,MaritalStatus,Married
62,MaritalStatus,Single
63,MaritalStatus,Married
64,MaritalStatus,Single
65,MaritalStatus,Single
68,MaritalStatus,Divorced
70,MaritalStatus,Married
72,MaritalStatus,Married
73,MaritalStatus,Single
74,MaritalStatus,Married
75,MaritalStatus,Married
76,MaritalStatus,Divorced
77,MaritalStatus,Divorced
78,MaritalStatus,Married
79,MaritalStatus,Single
80,MaritalStatus,Divorced
81,MaritalStatus,Single
83,MaritalStatus,Divorced
84,MaritalStatus,Divorced
85,MaritalStatus,Single
86,MaritalStatus,Divorced
88,MaritalStatus,Married
90,MaritalStatus,Married
91,MaritalStatus,Single
94,MaritalStatus,Married
95,MaritalStatus,Single
96,MaritalStatus,Married
97,MaritalStatus,Married
98,MaritalStatus,Single
100,MaritalStatus,Single
101,MaritalStatus,Married
102,MaritalStatus,Single
103,MaritalStatus,Divorced
104,MaritalStatus,Married
105,MaritalStatus,Single
106,MaritalStatus,Married
107,MaritalStatus,Divorced
110,MaritalStatus,Married
112,MaritalStatus,Single
113,MaritalStatus,Divorced
116,MaritalStatus,Married
117,MaritalStatus,Married
118,MaritalStatus,Single
119,MaritalStatus,Married
120,MaritalStatus,Single
121,MaritalStatus,Divorced
124,MaritalStatus,Married
125,MaritalStatus,Single
126,MaritalStatus,Married
128,MaritalStatus,Married
129,MaritalStatus,Married
131,MaritalStatus,Single
132,MaritalStatus,Married
133,MaritalStatus,Divorced
134,MaritalStatus,Single
137,MaritalStatus,Single
138,MaritalStatus,Single
139,MaritalStatus,Divorced
140,MaritalStatus,Married
141,MaritalStatus,Married
142,MaritalStatus,Single
143,MaritalStatus,Married
144,MaritalStatus,Single
145,MaritalStatus,Single
147,MaritalStatus,Single
148,MaritalStatus,Single
150,MaritalStatus,Married
151,MaritalStatus,Divorced
152,MaritalStatus,Single
153,MaritalStatus,Single
154,MaritalStatus,Married
155,MaritalStatus,Divorced
158,MaritalStatus,Married
159,MaritalStatus,Divorced
160,MaritalStatus,Married
161,MaritalStatus,Married
162,MaritalStatus,Single
163,MaritalStatus,Married
164,MaritalStatus,Married
165,MaritalStatus,Married
167,MaritalStatus,Single
169,MaritalStatus,Married
170,MaritalStatus,Married
171,MaritalStatus,Single
174,MaritalStatus,Single
175,MaritalStatus,Married
176,MaritalStatus,Divorced
177,MaritalStatus,Married
178,MaritalStatus,Divorced
179,MaritalStatus,Single
182,MaritalStatus,Married
183,MaritalStatus,Married
184,MaritalStatus,Married
190,MaritalStatus,Single
192,MaritalStatus,Single
193,MaritalStatus,Single
194,MaritalStatus,Single
195,MaritalStatus,Divorced
197,MaritalStatus,Divorced
198,MaritalStatus,Single
199,MaritalStatus,Divorced
200,MaritalStatus,Married
201,MaritalStatus,Single
202,MaritalStatus,Divorced
204,MaritalStatus,Married
205,MaritalStatus,Married
206,MaritalStatus,Divorced
207,MaritalStatus,Single
208,MaritalStatus,Married
211,MaritalStatus,Married
214,MaritalStatus,Married
215,MaritalStatus,Married
216,MaritalStatus,Married
217,MaritalStatus,Married
218,MaritalStatus,Divorced
221,MaritalStatus,Married
223,MaritalStatus,Divorced
224,MaritalStatus,Divorced
226,MaritalStatus,Single
227,MaritalStatus,Divorced
228,MaritalStatus,Married
230,MaritalStatus,Single
231,MaritalStatus,Single
233,MaritalStatus,Married
235,MaritalStatus,Single
238,MaritalStatus,Single
239,MaritalStatus,Divorced
240,MaritalStatus,Divorced
241,MaritalStatus,Divorced
242,MaritalStatus,Single
243,MaritalStatus,Single
244,MaritalStatus,Divorced
245,MaritalStatus,Single
246,MaritalStatus,Married
247,MaritalStatus,Single
248,MaritalStatus,Single
249,MaritalStatus,Married
250,MaritalStatus,Divorced
252,MaritalStatus,Married
253,MaritalStatus,Married
254,MaritalStatus,Single
256,MaritalStatus,Married
258,MaritalStatus,Single
259,MaritalStatus,Married
260,MaritalStatus,Single
261,MaritalStatus,Married
262,MaritalStatus,Divorced
264,MaritalStatus,Married
267,MaritalStatus,Married
269,MaritalStatus,Single
270,MaritalStatus,Divorced
271,MaritalStatus,Married
273,MaritalStatus,Married
274,MaritalStatus,Married
275,MaritalStatus,Divorced
277,MaritalStatus,Divorced
281,MaritalStatus,Married
282,MaritalStatus,Married
283,MaritalStatus,Married
284,MaritalStatus,Divorced
286,MaritalStatus,Single
287,MaritalStatus,Married
288,MaritalStatus,Divorced
291,MaritalStatus,Married
292,MaritalStatus,Single
293,MaritalStatus,Single
296,MaritalStatus,Married
297,MaritalStatus,Single
298,MaritalStatus,Single
299,MaritalStatus,Single
300,MaritalStatus,Single
302,MaritalStatus,Single
303,MaritalStatus,Married
304,MaritalStatus,Single
305,MaritalStatus,Married
306,MaritalStatus,Divorced
307,MaritalStatus,Divorced
308,MaritalStatus,Married
309,MaritalStatus,Married
311,MaritalStatus,Divorced
312,MaritalStatus,Married
314,MaritalStatus,Single
315,MaritalStatus,Single
316,MaritalStatus,Single
319,MaritalStatus,Married
321,MaritalStatus,Married
323,MaritalStatus,Divorced
325,MaritalStatus,Married
327,MaritalStatus,Married
328,MaritalStatus,Married
329,MaritalStatus,Single
330,MaritalStatus,Married
331,MaritalStatus,Single
332,MaritalStatus,Divorced
333,MaritalStatus,Married
334,MaritalStatus,Divorced
335,MaritalStatus,Divorced
336,MaritalStatus,Married
337,MaritalStatus,Divorced
338,MaritalStatus,Married
339,MaritalStatus,Married
340,MaritalStatus,Married
341,MaritalStatus,Married
342,MaritalStatus,Divorced
343,MaritalStatus,Single
346,MaritalStatus,Single
347,MaritalStatus,Single
349,MaritalStatus,Divorced
350,MaritalStatus,Married
351,MaritalStatus,Divorced
352,MaritalStatus,Divorced
353,MaritalStatus,Married
355,MaritalStatus,Single
359,MaritalStatus,Married
361,MaritalStatus,Married
362,MaritalStatus,Single
363,MaritalStatus,Married
364,MaritalStatus,Single
366,MaritalStatus,Married
367,MaritalStatus,Married
369,MaritalStatus,Divorced
372,MaritalStatus,Married
373,MaritalStatus,Married
374,MaritalStatus,Single
376,MaritalStatus,Married
377,MaritalStatus,Married
378,MaritalStatus,Married
379,MaritalStatus,Single
380,MaritalStatus,Divorced
381,MaritalStatus,Divorced
382,MaritalStatus,Divorced
384,MaritalStatus,Divorced
385,MaritalStatus,Divorced
386,MaritalStatus,Married
387,MaritalStatus,Married
388,MaritalStatus,Single
389,MaritalStatus,Married
390,MaritalStatus,Married
391,MaritalStatus,Single
392,MaritalStatus,Divorced
393,MaritalStatus,Divorced
394,MaritalStatus,Divorced
395,MaritalStatus,Single
396,MaritalStatus,Single
397,MaritalStatus,Single
399,MaritalStatus,Divorced
401,MaritalStatus,Single
403,MaritalStatus,Married
404,MaritalStatus,Married
405,MaritalStatus,Single
406,MaritalStatus,Married
407,MaritalStatus,Married
408,MaritalStatus,Divorced
410,MaritalStatus,Single
411,MaritalStatus,Single
412,MaritalStatus,Single
416,MaritalStatus,Married
417,MaritalStatus,Divorced
419,MaritalStatus,Married
420,MaritalStatus,Married
421,MaritalStatus,Married
422,MaritalStatus,Divorced
423,MaritalStatus,Married
424,MaritalStatus,Married
425,MaritalStatus,Divorced
426,MaritalStatus,Divorced
428,MaritalStatus,Married
429,MaritalStatus,Married
430,MaritalStatus,Single
431,MaritalStatus,Single
433,MaritalStatus,Married
434,MaritalStatus,Single
436,MaritalStatus,Married
437,MaritalStatus,Single
438,MaritalStatus,Divorced
439,MaritalStatus,Single
440,MaritalStatus,Married
441,MaritalStatus,Married
442,MaritalStatus,Married
444,MaritalStatus,Married
445,MaritalStatus,Married
446,MaritalStatus,Single
447,MaritalStatus,Married
448,MaritalStatus,Divorced
449,MaritalStatus,Married
450,MaritalStatus,Single
451,MaritalStatus,Married
452,MaritalStatus,Married
453,MaritalStatus,Married
454,MaritalStatus,Married
455,MaritalStatus,Single
456,MaritalStatus,Divorced
458,MaritalStatus,Married
460,MaritalStatus,Divorced
461,MaritalStatus,Divorced
462,MaritalStatus,Single
463,MaritalStatus,Divorced
464,MaritalStatus,Single
465,MaritalStatus,Divorced
466,MaritalStatus,Single
467,MaritalStatus,Single
468,MaritalStatus,Single
469,MaritalStatus,Married
470,MaritalStatus,Divorced
471,MaritalStatus,Married
473,MaritalStatus,Married
474,MaritalStatus,Divorced
475,MaritalStatus,Married
476,MaritalStatus,Married
477,MaritalStatus,Single
478,MaritalStatus,Single
479,MaritalStatus,Single
481,MaritalStatus,Married
482,MaritalStatus,Married
483,MaritalStatus,Married
484,MaritalStatus,Single
485,MaritalStatus,Single
486,MaritalStatus,Married
487,MaritalStatus,Married
488,MaritalStatus,Single
491,MaritalStatus,Single
492,MaritalStatus,Married
493,MaritalStatus,Single
494,MaritalStatus,Single
495,MaritalStatus,Single
496,MaritalStatus,Single
497,MaritalStatus,Divorced
498,MaritalStatus,Single
499,MaritalStatus,Single
500,MaritalStatus,Married
501,MaritalStatus,Married
502,MaritalStatus,Single
505,MaritalStatus,Single
507,MaritalStatus,Divorced
508,MaritalStatus,Married
510,MaritalStatus,Single
511,MaritalStatus,Married
513,MaritalStatus,Married
514,MaritalStatus,Single
515,MaritalStatus,Divorced
516,MaritalStatus,Divorced
517,MaritalStatus,Divorced
518,MaritalStatus,Single
520,MaritalStatus,Divorced
521,MaritalStatus,Married
522,MaritalStatus,Married
523,MaritalStatus,Married
524,MaritalStatus,Married
525,MaritalStatus,Married
526,MaritalStatus,Divorced
527,MaritalStatus,Single
529,MaritalStatus,Married
530,MaritalStatus,Married
531,MaritalStatus,Divorced
532,MaritalStatus,Married
533,MaritalStatus,Single
534,MaritalStatus,Married
536,MaritalStatus,Divorced
538,MaritalStatus,Married
543,MaritalStatus,Married
544,MaritalStatus,Married
546,MaritalStatus,Married
547,MaritalStatus,Divorced
548,MaritalStatus,Single
549,MaritalStatus,Married
550,MaritalStatus,Divorced
551,MaritalStatus,Married
554,MaritalStatus,Single
555,MaritalStatus,Divorced
556,MaritalStatus,Married
558,MaritalStatus,Married
560,MaritalStatus,Divorced
562,MaritalStatus,Married
564,MaritalStatus,Married
565,MaritalStatus,Married
566,MaritalStatus,Single
567,MaritalStatus,Married
568,MaritalStatus,Divorced
569,MaritalStatus,Married
571,MaritalStatus,Single
573,MaritalStatus,Married
574,MaritalStatus,Divorced
575,MaritalStatus,Married
577,MaritalStatus,Single
578,MaritalStatus,Single
579,MaritalStatus,Divorced
580,MaritalStatus,Married
581,MaritalStatus,Divorced
582,MaritalStatus,Married
584,MaritalStatus,Divorced
585,MaritalStatus,Single
586,MaritalStatus,Married
587,MaritalStatus,Married
590,MaritalStatus,Divorced
591,MaritalStatus,Married
592,MaritalStatus,Single
593,MaritalStatus,Single
595,MaritalStatus,Married
597,MaritalStatus,Single
599,MaritalStatus,Single
600,MaritalStatus,Married
601,MaritalStatus,Single
602,MaritalStatus,Married
604,MaritalStatus,Single
605,MaritalStatus,Married
606,MaritalStatus,Married
608,MaritalStatus,Divorced
611,MaritalStatus,Divorced
612,MaritalStatus,Divorced
613,MaritalStatus,Divorced
614,MaritalStatus,Single
615,MaritalStatus,Divorced
616,MaritalStatus,Single
618,MaritalStatus,Divorced
620,MaritalStatus,Single
621,MaritalStatus,Single
622,MaritalStatus,Single
623,MaritalStatus,Single
624,MaritalStatus,Married
625,MaritalStatus,Married
626,MaritalStatus,Divorced
630,MaritalStatus,Divorced
631,MaritalStatus,Married
632,MaritalStatus,Married
634,MaritalStatus,Married
635,MaritalStatus,Married
638,MaritalStatus,Divorced
639,MaritalStatus,Married
641,MaritalStatus,Married
643,MaritalStatus,Married
644,MaritalStatus,Married
645,MaritalStatus,Married
647,MaritalStatus,Married
648,MaritalStatus,Married
649,MaritalStatus,Married
650,MaritalStatus,Divorced
652,MaritalStatus,Single
653,MaritalStatus,Divorced
655,MaritalStatus,Divorced
656,MaritalStatus,Married
657,MaritalStatus,Single
659,MaritalStatus,Married
661,MaritalStatus,Divorced
662,MaritalStatus,Single
663,MaritalStatus,Divorced
664,MaritalStatus,Married
665,MaritalStatus,Single
666,MaritalStatus,Divorced
667,MaritalStatus,Divorced
669,MaritalStatus,Single
671,MaritalStatus,Married
675,MaritalStatus,Married
677,MaritalStatus,Divorced
679,MaritalStatus,Married
680,MaritalStatus,Divorced
682,MaritalStatus,Single
683,MaritalStatus,Married
684,MaritalStatus,Married
686,MaritalStatus,Married
689,MaritalStatus,Married
690,MaritalStatus,Married
691,MaritalStatus,Single
692,MaritalStatus,Divorced
698,MaritalStatus,Married
699,MaritalStatus,Divorced
700,MaritalStatus,Single
701,MaritalStatus,Single
702,MaritalStatus,Single
704,MaritalStatus,Married
705,MaritalStatus,Married
707,MaritalStatus,Married
709,MaritalStatus,Single
710,MaritalStatus,Divorced
712,MaritalStatus,Married
714,MaritalStatus,Divorced
715,MaritalStatus,Single
716,MaritalStatus,Married
717,MaritalStatus,Single
720,MaritalStatus,Single
721,MaritalStatus,Single
722,MaritalStatus,Single
723,MaritalStatus,Married
724,MaritalStatus,Single
725,MaritalStatus,Married
727,MaritalStatus,Single
728,MaritalStatus,Single
729,MaritalStatus,Married
730,MaritalStatus,Married
731,MaritalStatus,Divorced
732,MaritalStatus,Single
733,MaritalStatus,Divorced
734,MaritalStatus,Married
738,MaritalStatus,Married
741,MaritalStatus,Single
742,MaritalStatus,Married
743,MaritalStatus,Single
744,MaritalStatus,Single
746,MaritalStatus,Divorced
747,MaritalStatus,Divorced
749,MaritalStatus,Single
752,MaritalStatus,Divorced
754,MaritalStatus,Married
757,MaritalStatus,Single
758,MaritalStatus,Married
760,MaritalStatus,Married
762,MaritalStatus,Married
763,MaritalStatus,Single
764,MaritalStatus,Single
766,MaritalStatus,Divorced
769,MaritalStatus,Single
771,MaritalStatus,Divorced
772,MaritalStatus,Married
773,MaritalStatus,Married
775,MaritalStatus,Divorced
776,MaritalStatus,Married
780,MaritalStatus,Single
781,MaritalStatus,Single
783,MaritalStatus,Single
784,MaritalStatus,Single
785,MaritalStatus,Single
786,MaritalStatus,Single
787,MaritalStatus,Married
789,MaritalStatus,Single
791,MaritalStatus,Married
792,MaritalStatus,Divorced
793,MaritalStatus,Married
796,MaritalStatus,Single
797,MaritalStatus,Single
799,MaritalStatus,Divorced
800,MaritalStatus,Married
802,MaritalStatus,Divorced
803,MaritalStatus,Single
804,MaritalStatus,Single
805,MaritalStatus,Married
806,MaritalStatus,Married
807,MaritalStatus,Married
808,MaritalStatus,Married
809,MaritalStatus,Divorced
811,MaritalStatus,Married
812,MaritalStatus,Divorced
813,MaritalStatus,Married
815,MaritalStatus,Married
816,MaritalStatus,Married
817,MaritalStatus,Married
819,MaritalStatus,Single
820,MaritalStatus,Married
823,MaritalStatus,Married
824,MaritalStatus,Married
825,MaritalStatus,Single
826,MaritalStatus,Single
827,MaritalStatus,Married
828,MaritalStatus,Single
829,MaritalStatus,Married
830,MaritalStatus,Married
832,MaritalStatus,Single
833,MaritalStatus,Single
834,MaritalStatus,Single
836,MaritalStatus,Married
837,MaritalStatus,Divorced
838,MaritalStatus,Single
840,MaritalStatus,Married
842,MaritalStatus,Single
843,MaritalStatus,Married
844,MaritalStatus,Divorced
845,MaritalStatus,Single
846,MaritalStatus,Married
847,MaritalStatus,Married
848,MaritalStatus,Married
850,MaritalStatus,Married
851,MaritalStatus,Married
852,MaritalStatus,Single
854,MaritalStatus,Single
855,MaritalStatus,Divorced
856,MaritalStatus,Single
857,MaritalStatus,Married
859,MaritalStatus,Divorced
861,MaritalStatus,Divorced
862,MaritalStatus,Married
864,MaritalStatus,Divorced
865,MaritalStatus,Married
867,MaritalStatus,Married
868,MaritalStatus,Divorced
869,MaritalStatus,Divorced
872,MaritalStatus,Married
874,MaritalStatus,Married
875,MaritalStatus,Single
878,MaritalStatus,Married
879,MaritalStatus,Married
880,MaritalStatus,Married
881,MaritalStatus,Divorced
882,MaritalStatus,Divorced
885,MaritalStatus,Married
887,MaritalStatus,Married
888,MaritalStatus,Married
889,MaritalStatus,Married
893,MaritalStatus,Married
894,MaritalStatus,Married
895,MaritalStatus,Married
896,MaritalStatus,Divorced
897,MaritalStatus,Married
899,MaritalStatus,Married
900,MaritalStatus,Married
901,MaritalStatus,Single
902,MaritalStatus,Married
903,MaritalStatus,Married
904,MaritalStatus,Single
905,MaritalStatus,Divorced
909,MaritalStatus,Married
910,MaritalStatus,Divorced
911,MaritalStatus,Single
912,MaritalStatus,Divorced
913,MaritalStatus,Married
916,MaritalStatus,Single
918,MaritalStatus,Divorced
920,MaritalStatus,Divorced
922,MaritalStatus,Single
923,MaritalStatus,Single
924,MaritalStatus,Married
925,MaritalStatus,Single
926,MaritalStatus,Married
927,MaritalStatus,Divorced
930,MaritalStatus,Divorced
932,MaritalStatus,Married
933,MaritalStatus,Single
934,MaritalStatus,Divorced
936,MaritalStatus,Single
939,MaritalStatus,Single
940,MaritalStatus,Divorced
941,MaritalStatus,Married
942,MaritalStatus,Married
944,MaritalStatus,Married
945,MaritalStatus,Married
947,MaritalStatus,Married
949,MaritalStatus,Single
950,MaritalStatus,Married
951,MaritalStatus,Married
952,MaritalStatus,Married
954,MaritalStatus,Divorced
956,MaritalStatus,Single
957,MaritalStatus,Single
958,MaritalStatus,Single
959,MaritalStatus,Single
960,MaritalStatus,Single
961,MaritalStatus,Married
964,MaritalStatus,Divorced
966,MaritalStatus,Married
967,MaritalStatus,Married
969,MaritalStatus,Single
970,MaritalStatus,Married
972,MaritalStatus,Married
974,MaritalStatus,Married
975,MaritalStatus,Married
976,MaritalStatus,Married
977,MaritalStatus,Single
981,MaritalStatus,Divorced
982,MaritalStatus,Divorced
983,MaritalStatus,Single
984,MaritalStatus,Divorced
985,MaritalStatus,Single
986,MaritalStatus,Single
987,MaritalStatus,Divorced
990,MaritalStatus,Divorced
991,MaritalStatus,Single
992,MaritalStatus,Single
994,MaritalStatus,Single
995,MaritalStatus,Single
996,MaritalStatus,Divorced
997,MaritalStatus,Divorced
998,MaritalStatus,Married
999,MaritalStatus,Divorced
1001,MaritalStatus,Married
1002,MaritalStatus,Married
1003,MaritalStatus,Single
1004,MaritalStatus,Married
1005,MaritalStatus,Married
1006,MaritalStatus,Married
1007,MaritalStatus,Divorced
1009,MaritalStatus,Divorced
1010,MaritalStatus,Divorced
1011,MaritalStatus,Married
1012,MaritalStatus,Single
1013,MaritalStatus,Married
1014,MaritalStatus,Divorced
1015,MaritalStatus,Married
1016,MaritalStatus,Single
1017,MaritalStatus,Single
1018,MaritalStatus,Married
1019,MaritalStatus,Married
1022,MaritalStatus,Single
1024,MaritalStatus,Single
1025,MaritalStatus,Single
1026,MaritalStatus,Married
1027,MaritalStatus,Married
1028,MaritalStatus,Divorced
1029,MaritalStatus,Married
1030,MaritalStatus,Married
1032,MaritalStatus,Single
1033,MaritalStatus,Married
1034,MaritalStatus,Married
1035,MaritalStatus,Divorced
1036,MaritalStatus,Single
1037,MaritalStatus,Single
1038,MaritalStatus,Married
1039,MaritalStatus,Married
1040,MaritalStatus,Married
1042,MaritalStatus,Single
1043,MaritalStatus,Single
1044,MaritalStatus,Single
1045,MaritalStatus,Married
1046,MaritalStatus,Single
1047,MaritalStatus,Divorced
1048,MaritalStatus,Married
1049,MaritalStatus,Single
1050,MaritalStatus,Married
1052,MaritalStatus,Divorced
1053,MaritalStatus,Married
1055,MaritalStatus,Married
1056,MaritalStatus,Married
1060,MaritalStatus,Married
1061,MaritalStatus,Married
1062,MaritalStatus,Single
1066,MaritalStatus,Married
1068,MaritalStatus,Divorced
1069,MaritalStatus,Divorced
1070,MaritalStatus,Married
1071,MaritalStatus,Married
1073,MaritalStatus,Single
1074,MaritalStatus,Single
1076,MaritalStatus,Divorced
1077,MaritalStatus,Single
1079,MaritalStatus,Single
1080,MaritalStatus,Divorced
1081,MaritalStatus,Married
1082,MaritalStatus,Single
1083,MaritalStatus,Married
1084,MaritalStatus,Married
1085,MaritalStatus,Married
1088,MaritalStatus,Married
1092,MaritalStatus,Married
1094,MaritalStatus,Married
1096,MaritalStatus,Married
1097,MaritalStatus,Single
1098,MaritalStatus,Married
1099,MaritalStatus,Divorced
1100,MaritalStatus,Single
1101,MaritalStatus,Single
1102,MaritalStatus,Divorced
1103,MaritalStatus,Single
1105,MaritalStatus,Divorced
1106,MaritalStatus,Married
1107,MaritalStatus,Divorced
1108,MaritalStatus,Single
1109,MaritalStatus,Married
1111,MaritalStatus,Divorced
1113,MaritalStatus,Single
1114,MaritalStatus,Married
1115,MaritalStatus,Married
1116,MaritalStatus,Single
1117,MaritalStatus,Married
1118,MaritalStatus,Single
1119,MaritalStatus,Divorced
1120,MaritalStatus,Divorced
1121,MaritalStatus,Divorced
1124,MaritalStatus,Married
1125,MaritalStatus,Single
1126,MaritalStatus,Married
1127,MaritalStatus,Divorced
1128,MaritalStatus,Single
1131,MaritalStatus,Single
1132,MaritalStatus,Single
1133,MaritalStatus,Single
1135,MaritalStatus,Married
1136,MaritalStatus,Married
1137,MaritalStatus,Divorced
1138,MaritalStatus,Married
1140,MaritalStatus,Single
1143,MaritalStatus,Divorced
1148,MaritalStatus,Single
1150,MaritalStatus,Married
1152,MaritalStatus,Married
1154,MaritalStatus,Divorced
1156,MaritalStatus,Single
1157,MaritalStatus,Single
1158,MaritalStatus,Married
1160,MaritalStatus,Married
1161,MaritalStatus,Divorced
1162,MaritalStatus,Married
1163,MaritalStatus,Married
1164,MaritalStatus,Single
1165,MaritalStatus,Married
1166,MaritalStatus,Single
1167,MaritalStatus,Single
1171,MaritalStatus,Single
1172,MaritalStatus,Married
1173,MaritalStatus,Single
1175,MaritalStatus,Married
1177,MaritalStatus,Married
1179,MaritalStatus,Married
1180,MaritalStatus,Married
1182,MaritalStatus,Divorced
1184,MaritalStatus,Single
1185,MaritalStatus,Married
1188,MaritalStatus,Single
1190,MaritalStatus,Divorced
1191,MaritalStatus,Divorced
1192,MaritalStatus,Married
1193,MaritalStatus,Single
1195,MaritalStatus,Married
1196,MaritalStatus,Married
1198,MaritalStatus,Single
1200,MaritalStatus,Single
1201,MaritalStatus,Divorced
1202,MaritalStatus,Married
1203,MaritalStatus,Married
1204,MaritalStatus,Married
1206,MaritalStatus,Single
1207,MaritalStatus,Married
1210,MaritalStatus,Divorced
1211,MaritalStatus,Divorced
1212,MaritalStatus,Married
1215,MaritalStatus,Married
1216,MaritalStatus,Married
1217,MaritalStatus,Married
1218,MaritalStatus,Married
1219,MaritalStatus,Married
1220,MaritalStatus,Married
1221,MaritalStatus,Divorced
1224,MaritalStatus,Divorced
1225,MaritalStatus,Single
1226,MaritalStatus,Single
1228,MaritalStatus,Divorced
1231,MaritalStatus,Married
1233,MaritalStatus,Divorced
1234,MaritalStatus,Married
1235,MaritalStatus,Single
1237,MaritalStatus,Divorced
1238,MaritalStatus,Married
1239,MaritalStatus,Divorced
1240,MaritalStatus,Single
1241,MaritalStatus,Married
1242,MaritalStatus,Married
1243,MaritalStatus,Married
1244,MaritalStatus,Married
1245,MaritalStatus,Divorced
1246,MaritalStatus,Married
1248,MaritalStatus,Single
1249,MaritalStatus,Divorced
1250,MaritalStatus,Married
1251,MaritalStatus,Married
1252,MaritalStatus,Single
1254,MaritalStatus,Single
1255,MaritalStatus,Married
1256,MaritalStatus,Married
1257,MaritalStatus,Married
1258,MaritalStatus,Single
1259,MaritalStatus,Divorced
1260,MaritalStatus,Divorced
1263,MaritalStatus,Single
1264,MaritalStatus,Divorced
1265,MaritalStatus,Married
1267,MaritalStatus,Married
1268,MaritalStatus,Divorced
1269,MaritalStatus,Single
1270,MaritalStatus,Married
1273,MaritalStatus,Single
1275,MaritalStatus,Single
